24
5-50-2	5-50-5	5-50-8	5-50-10	5-100-2	5-100-5	5-100-8	5-100-10	8-50-2	8-50-5	8-50-8	8-50-10	8-100-2	8-100-5	8-100-8	8-100-10	10-50-2	10-50-5	10-50-8	10-50-10	10-100-2	10-100-5	10-100-8	10-100-10
0.821629898	9.192778447	10.77177359	10.44131713	0.680784593	7.686018758	9.289120067	8.949696445	2.007010991	9.048196826	8.85764467	8.76811145	0.859906387	7.381937925	8.514346349	9.197262027	0.842747007	7.402058683	9.039755518	9.786465345	0	6.57057598	7.387417856	8.143842107
0.478488727	8.325544232	10.27062485	10.71270816	0.708248037	7.944331023	9.096381345	8.921015288	1.885254179	8.024324712	9.364203653	8.545450136	0.11956079	7.440211164	6.724442615	7.701034792	2.094815543	8.416649861	8.631859282	9.591875637	0	7.033857958	7.650417143	8.519143693
1.734646342	8.250470626	9.470969984	9.186989682	0.552367621	6.923348984	7.245063654	8.133863646	1.277100911	7.461420336	8.617991708	8.961912601	0.396502633	6.160427475	8.46514158	8.226870437	0.3119569	8.065559252	7.893517761	8.590112363	0	7.097497634	7.263736331	8.098366108
3.209341871	8.28899459	8.4290331	10.33775567	1.682613882	6.954935863	9.110034329	8.143518537	2.191503826	7.552134977	8.454795999	7.972279586	1.621608733	6.498269582	6.952260709	7.335418403	1.852224478	7.229110098	7.867308859	9.100264201	0	6.354799896	6.674219131	7.697145785
2.505097747	7.495956716	8.948118463	9.816141871	1.006743189	5.674987498	7.549725826	8.326777102	0.991760209	8.022848762	8.47451494	7.388955621	0.247699759	6.218106394	7.407585402	7.369958333	0	7.225414979	8.258844835	7.93688038	0.069487104	5.889866049	6.704176887	7.031173362
2.538080035	6.731664251	8.566643296	8.575004907	1.785819088	6.120351655	6.347692795	8.218737201	1.349090604	7.685487337	6.713300261	6.26104758	0	5.325178292	6.341319039	5.173848922	1.142890139	5.649734984	6.363437865	6.499527017	0.052946347	5.128727779	5.56425724	5.740166589
1.732326987	7.117663439	6.738527457	7.954747855	2.058781965	4.89109666	5.323457178	6.076461041	1.983272527	4.977769453	5.113903855	5.906752952	0.194459798	4.322852601	4.862665642	4.940223786	1.597363274	4.736314855	5.967377916	6.072112767	0	3.592342691	3.715474083	4.892016487
4.17740351	8.40156629	8.921073401	9.401662858	2.889127526	7.77674191	7.106755625	7.408730479	2.690436931	6.079394918	6.325244125	6.721717721	1.075971471	4.383427469	4.733323313	5.025423538	1.414576839	5.385774872	6.075510413	6.173421711	0	4.973363916	4.35703462	4.897489013
3.354473117	9.006146787	8.611415927	11.23157137	2.502512344	7.633052574	8.319913839	8.218459138	2.595466287	8.249172747	7.004070385	8.042012965	0.446437646	3.838203221	7.077398664	5.562267869	0.84870831	5.643357711	5.146026394	8.228918766	0	3.867844995	6.427312419	6.073533037
1.779405778	5.391453175	6.90450415	7.448920372	0.681705572	4.053152724	7.297378215	5.921089792	0.657414342	5.276201531	6.274629625	5.511387465	1.161969533	3.672863272	5.357855184	4.351817789	1.131444529	4.860528829	4.768953818	6.154519735	0	2.511537603	3.812230547	4.119382909
3.649098382	6.654567754	8.538252453	9.069775922	1.741249006	6.333797401	6.779567754	7.309500133	1.572527181	6.091819146	6.837410501	6.883916733	0.731205251	5.548362503	4.80983161	4.706742243	1.137993901	6.297931583	7.07630602	6.625828693	0	5.329256165	4.801412092	6.112801644
