9
30-5	30-8	30-10	50-5	50-8	50-10	70-5	70-8	70-10
1.015072252	1.606886405	0	0.711968029	0.616262473	0.348264938	0.020327816	1.084406587	0.18701591
0.895437876	1.599122845	1.253347088	0.357576788	0.392259632	0.32721545	0.419684563	0.494812256	0
2.072203365	1.780794908	1.807976443	0	1.737938893	1.637796392	1.184604925	0.292839065	0.527334238
2.230433557	0.99106957	2.093604821	0	0.20672536	1.059319242	0.790404992	0.934941461	1.683711517
0.13480149	0.599697485	1.187927383	0.217024092	1.505407541	1.132882963	0	0.097130466	1.157996979
2.781237348	1.722846264	1.572359899	2.099685492	1.385365008	1.248176058	0.8570896	1.176524365	0
3.202071742	5.102470445	3.138428156	0.509331748	0	3.069597892	0.356294247	0.492917439	1.20398044
1.576146277	2.222692287	3.513866443	0.286607946	2.024588153	0.220441617	1.503775091	0	1.279046483
1.491661011	0.831513549	1.97961545	2.965892805	2.312488033	0	0.573637484	1.509980771	0.419955053
1.422523412	2.047816117	1.383340579	0.653793551	1.422709997	1.306980702	1.854234265	0.432783716	0
3.985282967	4.452050146	2.675207346	1.813841919	2.714271805	0	1.150100169	0.896299203	1.720901551
2.019106147	0.915764251	0.293604661	2.791260641	1.568785377	0.382324574	0	0.208693431	0.432733615
1.037148724	2.460782864	2.103350123	0.267040746	1.11402168	0.7135931	0	0.626010946	1.015412233
2.453742443	2.471962737	2.753720453	2.307922972	2.482243781	2.130632084	1.336707039	0	0.905188786
3.473344242	1.975959947	3.12238494	2.451839884	2.262623551	2.220524495	1.800853108	0	1.145564658
1.617678285	1.491284696	2.124370227	0.79018611	0.346398262	1.173890437	1.188099738	0.285197155	0
1.105815073	0.796490857	0.381115964	0.2663544	0.767318151	0	0.217362963	0.99409355	0.568663136
2.388996893	2.363492496	1.465291385	1.281340919	0.732805095	0.892271339	0	0.10016852	0.709341049
1.372163519	0.910299374	1.075168226	0.579002508	0	0.571609061	0.314749626	0.198768061	0.618736002
0.919208036	0.025452795	1.026017959	0	0.705690204	0.402296974	0.790413835	0.297068287	0.532723418
1.944411302	0	1.15515907	0.338190622	0.594499625	2.074545533	0.403864855	0.340724676	0.990023218
1.536191463	0.954803636	2.053393173	0.700028071	0.566424192	0.747562925	1.111021729	0.176300866	0
1.967510535	1.079278831	0.346358823	1.512800043	1.232127988	1.198282408	0.173752095	0	0.005268686
1.602593528	1.530041028	0.921899647	0.935313216	1.016331168	0.666266843	1.064560399	1.002798368	0
3.753569552	2.533464313	4.104298457	1.78974444	3.182543868	1.896606351	2.472767159	0	2.969076802
2.021197861	1.990986214	1.456842082	0.904913397	1.588458819	0.912203959	0.53983298	0	0.624392453
3.008482337	4.8071887	5.08223524	1.046647036	2.322274911	2.121411301	0	1.368861914	2.617965256
1.075525744	4.12234969	0.59246038	3.412376031	0.659479222	0.538971975	1.303182531	0	0.311833374
1.008527204	1.626603017	1.485594056	0.981860753	2.523767485	1.031759339	1.109485984	1.590138666	0
1.276503798	1.924451364	1.610034738	0.377853989	1.43385062	1.30226657	0.724681844	0.18449469	0
1.415609519	2.739911193	0.705895472	1.00651523	1.229513183	0.282912389	0	0.863200438	0.951095221
2.240539895	3.020496535	1.244360502	1.142439258	0.575538326	0.327933043	0	0.670837568	0.539261273
1.473765247	1.847290814	0.538262445	0.133457279	2.219549715	0.022483312	0	1.638502126	0.65236789
