       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order        Vehicle_Routes
 3_10_3_1.5_2.5     13330.6      1977      4800     6553.6       48.4114    Feasible     3609.83	3-10-5-6-2-4-8-1-7-9    | 3-6-5-10 | 2-4-8 | 1-7-9 |
 4_10_3_1.5_2.5      9643.8      1847      3370     4426.8       56.0395    Feasible     3608.08	10-4-9-8-6-5-2-3-1-7    | 4-9-6-10-8 | 2-5 | 1-7-3 |
 5_10_3_1.5_2.5       11859      2732      3110       6017       59.8621    Feasible     3608.88	6-1-5-9-3-10-8-7-4-2    | 6-9-5-1 | 8-10-3 | 2-4-7 |
 1_10_3_2.0_0.5     11801.7      2318      2400     7083.7       63.2579    Feasible     3624.48	1-4-10-6-8-3-9-2-5-7    | 1-10-4 | 3-8-6 | 2-9-7-5 |
 2_10_3_2.0_0.5       17482      2183      7420       7879       59.6258    Feasible     3608.95	1-8-5-10-7-9-6-3-2-4    | 1-5-10-8 | 7-9-6 | 4-2-3 |
 3_10_3_2.0_0.5     14475.2      1983      5230     7257.2       50.5585    Feasible     3609.32	8-9-1-10-7-4-3-2-6-5    | 1-8-9-10 | 3-4-7 | 5-2-6 |
 4_10_3_2.0_0.5     18235.5      2301      6830     9104.5       62.0502    Feasible     3609.25	5-9-1-6-2-10-4-7-8-3    | 5-9-1 | 6-10-2 | 7-3-8-4 |
 5_10_3_2.0_0.5     10222.2      2036      3490     4696.2       47.0774    Feasible     3620.23	9-2-6-7-3-4-8-10-1-5    | 2-6-9 | 4-8-7-3 | 1-5-10 |
 1_10_3_2.0_1.0     17244.1      2208      4500    10536.1       65.8513    Feasible     3610.62	9-4-3-6-10-8-5-7-1-2    | 9-3-4 | 8-10-6 | 5-7-1-2 |
 2_10_3_2.0_1.0     13478.1      2303      5210     5965.1       55.2082    Feasible     3608.45	4-2-6-7-9-1-8-10-3-5    | 2-6-4 | 9-1-7 | 8-10-5-3 |
 3_10_3_2.0_1.0      8744.7      1495      3220     4029.7       55.7262    Feasible      3608.9	1-10-3-4-9-8-2-5-7-6    | 10-3-1-4 | 8-2-9 | 6-5-7 |
 4_10_3_2.0_1.0       14204      2358      4550       7296       57.9315    Feasible     3609.53	10-2-3-7-8-1-6-5-4-9    | 2-10-3 | 1-7-8 | 6-4-9-5 |
 5_10_3_2.0_1.0     12238.8      2147      4220     5871.8       54.2529    Feasible     3607.97	1-2-4-3-5-10-6-8-7-9    | 2-4-1 | 10-5-3 | 6-7-8-9 |
 1_10_3_2.0_1.5     10149.3      2004      2980     5165.3       59.0362    Feasible      3606.9	4-10-5-6-1-8-3-7-9-2    | 6-5-4-10 | 8-3-1 | 2-9-7 |
