       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order        Vehicle_Routes
 2_10_6_2.0_1.5     13650.9      4428      3580     5642.9       48.7929    Feasible     3631.11	8-5-3-2-7-9-6-4-1-10    | 8-5 | 3-7-2 | 6-9-4 | 1-10 |
 3_10_6_2.0_1.5     14708.9      4317      4920     5471.9       59.5937    Feasible     3610.66	5-9-2-7-1-4-6-10-3-8    | 9-5 | 7-2 | 1-4 | 6-10 | 3-8 |
 4_10_6_2.0_1.5     15689.5      4713      5370     5606.5       55.4674    Feasible     3619.97	2-10-6-9-4-3-8-7-5-1    | 10-2 | 4-9-6 | 3-8 | 1-7-5 |
 5_10_6_2.0_1.5     12757.6      3996      3990     4771.6       51.1676    Feasible     3640.41	2-7-5-8-9-10-3-4-6-1    | 7-2-5 | 8-9 | 10-3 | 1-6-4 |
 1_10_6_2.0_2.0     15341.9      4508      5330     5503.9       55.0053    Feasible     3629.43	8-4-1-6-10-5-7-2-9-3    | 4-1-8 | 6 | 10-5-7 | 9-3-2 |
 2_10_6_2.0_2.0     16224.1      5243      6660     4321.1       58.1329    Feasible     3621.57	1-10-7-4-3-2-5-6-9-8    | 1 | 7-10-4 | 3-2 | 5 | 8-6-9 |
 3_10_6_2.0_2.0       16179      4253      4830       7096       60.7034    Feasible     3638.59	2-5-3-7-10-9-4-8-6-1    | 2 | 3-7-5 | 4-9-10 | 6-1-8 |
 4_10_6_2.0_2.0     19435.2      5180      7970     6285.2       59.8485    Feasible     3640.19	7-6-1-9-8-10-2-5-3-4    | 7-6 | 9-1 | 8-10 | 2-5 | 4-3 |
 5_10_6_2.0_2.0     20435.3      4981      7610     7844.3       65.6431    Feasible     3632.38	7-2-10-5-9-4-8-1-6-3    | 7-2 | 10 | 9-5-4 | 1-8 | 6-3 |
 1_10_6_2.0_2.5     17572.2      3970      5940     7662.2       64.2946    Feasible      3612.3	7-3-2-4-1-5-10-6-8-9    | 7-3 | 4-2-1 | 10-5 | 9-8-6 |
 2_10_6_2.0_2.5     13506.3      3815      5040     4651.3       48.3844    Feasible     3610.57	1-9-2-6-3-8-4-10-7-5    | 2-9-1 | 6-3-8 | 4-10 | 7-5 |
 3_10_6_2.0_2.5     11121.1      3562      3879     3671.1       43.7479    Feasible     3627.15	5-1-2-4-10-7-3-6-9-8    | 5-1 | 4-2 | 7-10-3 | 8-6-9 |
 4_10_6_2.0_2.5     12828.1      4334      2830     5664.1       60.2301    Feasible     3656.08	4-7-5-1-2-8-10-6-9-3    | 4-7-5 | 2-8-1 | 6-10 | 9-3 |
 5_10_6_2.0_2.5     13865.9      4432      3620     5813.9       45.7815    Feasible      3615.1	1-4-7-9-5-3-2-10-8-6    | 1-4-7 | 9-5 | 3-2 | 6-8-10 |
