       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 3_20_3_1.5_1.5     49952.7      3184      9960    36808.7       75.3736    Feasible     3621.35	1-15-14-12-17-13-7-10-5-8-11-16-20-6-9-19-3-2-4-18    | 17-12-7-14-13-1-15 | 5-10-8-16-11-6-20 | 18-2-3-19-9-4 |
 4_20_3_1.5_1.5     48550.2      2575     12540    33435.2       69.8724    Feasible     3611.99	5-8-9-10-17-20-15-14-16-7-4-2-6-12-18-19-11-1-3-13    | 17-8-20-14-10-9-5-15 | 4-7-16 | 1-13-3-11-18-2-6-12-19 |
 5_20_3_1.5_1.5     46743.3      3097     11720    31926.3       76.9993    Feasible     3608.03	17-2-13-18-7-1-19-8-4-15-10-11-9-3-5-16-12-14-20-6    | 17-7-13-2-18 | 15-9-11-8-4-19-3-10-1 | 16-20-14-5-6-12 |
 1_20_3_1.5_2.0     58765.1      3233     15260    40272.1       70.3139    Feasible     3615.87	7-4-11-14-18-2-16-9-1-12-17-13-20-6-5-3-15-19-8-10    | 11-2-14-4-7-16-18 | 17-13-9-12-1-20-5-6 | 19-3-10-15-8 |
 2_20_3_1.5_2.0     63396.3      2580      9640    51176.3       82.0984    Feasible     3607.39	6-8-19-14-15-2-11-9-3-12-16-1-10-4-5-13-17-20-7-18    | 15-14-6-3-12-19-11-8-9-2-16 | 1-10-18-13-7-4-17-20-5 |
 3_20_3_1.5_2.0     61269.2      3786     13840    43639.2       78.8226    Feasible     3610.46	9-20-15-6-5-2-13-8-7-17-19-12-14-10-1-18-16-3-4-11    | 15-9-5-8-13-6-7-2-20 | 17-12-19-10-1-14 | 16-3-4-18-11 |
 4_20_3_1.5_2.0     48788.2      3870     11180    33738.2        81.045    Feasible     3608.14	1-3-19-4-12-10-8-13-16-18-7-6-5-14-20-17-9-11-15-2    | 16-13-3-8-12-19-4-10-1 | 7-6-18 | 2-14-9-17-15-5-20-11 |
 5_20_3_1.5_2.0       76217      3097     23720      49400       77.1309    Feasible     3610.38	6-7-8-19-13-14-16-5-1-20-18-11-4-2-10-17-12-15-9-3    | 13-14-19-8-7-16-6 | 5-1-4-11-18-2-20 | 15-17-9-10-3-12 |
 1_20_3_1.5_2.5       53913      2789     12660      38464       79.8124    Feasible     3615.21	1-2-11-17-5-10-15-7-20-12-13-18-4-3-14-8-9-6-16-19    | 5-17-2-11-1-10 | 18-7-15-20-12-13 | 3-9-6-8-16-14-4-19 |
 2_20_3_1.5_2.5       54786      3295     16920      34571       71.1509    Feasible     3608.25	6-14-2-12-16-1-18-13-15-4-8-5-20-10-11-17-19-3-9-7    | 6-14-18-16-12-1-2 | 8-4-13-15-5 | 3-7-9-10-11-19-17-20 |
