       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 2_15_3_1.5_2.5       23984      2521      6750      14713       71.4683    Feasible     3606.95	12-5-1-13-2-6-4-14-8-7-9-15-11-3-10    | 12-5-1 | 4-2-8-13-6-14 | 7-11-10-3-15-9 |
 3_15_3_1.5_2.5     25796.6      2150      7380    16264.6       63.9886    Feasible     3609.63	7-4-2-12-1-5-9-8-3-14-6-10-15-11-13    | 2-12-4-7-1 | 8-5-9-14-3 | 15-11-13-10-6 |
 4_15_3_1.5_2.5       24828      2965      6855      14998       71.7589    Feasible     3609.43	9-4-3-5-11-12-1-2-8-15-14-6-13-7-10    | 4-11-3-5-9 | 2-8-12-1 | 6-14-7-13-15-10 |
 5_15_3_1.5_2.5     25534.5      2558      8250    14726.5       58.5427    Feasible     3607.85	10-11-5-3-4-6-12-1-9-13-15-2-8-14-7    | 3-11-4-10-5 | 9-6-12-1 | 15-14-7-8-2-13 |
 1_15_3_2.0_0.5       18763      2498      2895      13370       72.6749    Feasible     3609.25	4-11-13-12-3-14-7-6-5-1-15-2-8-9-10    | 13-3-12-11-4 | 14-5-6-7 | 1-15-2-8-9-10 |
 2_15_3_2.0_0.5     31573.5      2968     10395    18210.5       72.8606    Feasible     3606.62	5-12-15-8-4-11-3-7-14-2-9-1-13-10-6    | 8-12-15-5-4 | 7-3-11-2-9-14 | 1-6-13-10 |
 3_15_3_2.0_0.5     25291.9      2600      7935    14756.9       59.4519    Feasible     3610.43	3-6-8-11-4-2-13-15-1-12-10-9-14-5-7    | 4-13-11-8-6-2-3 | 12-1-15-10 | 5-14-7-9 |
 4_15_3_2.0_0.5     33124.9      1914      6795    24415.9       73.8951    Feasible     3608.81	3-10-6-5-1-2-12-13-15-7-8-4-11-9-14    | 3-5-12-10-6-1-15-2-13 | 4-8-14-7-9-11 |
 5_15_3_2.0_0.5     27716.4      2570      8685    16461.4       74.4065    Feasible     3607.27	9-2-4-7-12-15-6-10-11-5-13-14-1-8-3    | 4-2-7-9 | 11-12-10-6-15-5 | 3-13-8-14-1 |
 1_15_3_2.0_1.0     41431.3      2454     10965    28012.3        68.888    Feasible     3609.17	7-3-15-5-6-11-1-4-2-8-10-12-14-13-9    | 1-6-5-3-11-7-15 | 14-13-2-9-12-4-8-10 |
 2_15_3_2.0_1.0     26011.3      2863      8250    14898.3       69.5144    Feasible      3612.2	6-11-3-7-10-14-2-8-13-9-5-1-12-15-4    | 11-10-6-3-7 | 14-2-13-8 | 12-9-4-1-15-5 |
 3_15_3_2.0_1.0     31967.2      1651      7845    22471.2       70.3485    Feasible     3607.93	3-15-13-10-6-7-12-5-9-1-4-8-11-2-14    | 15-3-13-7-5-10-6-12 | 14-11-4-1-8-9-2 |
 4_15_3_2.0_1.0     23996.7      2675      9720    11601.7       67.7873    Feasible     3607.17	13-8-11-5-4-2-3-9-14-6-7-12-1-15-10    | 8-4-5-13-11 | 6-9-7-14-2-3 | 12-1-10-15 |
 5_15_3_2.0_1.0     31726.4      2765      8580    20381.4       76.5199    Feasible     3608.36	4-15-2-3-7-1-13-8-12-5-9-14-11-6-10    | 4-2-15-13-7-1-3 | 12-8-5-9-14 | 11-10-6 |
 1_15_3_2.0_1.5     31923.7      2835      9375    19713.7       72.1393    Feasible     3608.15	7-15-3-5-1-2-6-12-10-13-11-8-9-14-4    | 15-7-5-3 | 6-12-2-1 | 13-10-14-9-4-8-11 |
 2_15_3_2.0_1.5     21187.3      2131      6780    12276.3       64.6827    Feasible      3607.9	7-3-15-13-5-14-9-4-2-1-6-12-10-11-8    | 3-5-13-14-15-7 | 1-4-9-2 | 10-8-6-12-11 |
 3_15_3_2.0_1.5       36691      2427     12300      21964       65.6584    Feasible      3606.8	10-9-15-4-13-11-2-3-12-8-7-6-14-5-1    | 4-10-9-15-13 | 6-12-7-2-8-11-14-3 | 5-1 |
 4_15_3_2.0_1.5     22932.4      2613      6690    13629.4       71.0998    Feasible      3606.7	8-15-3-11-14-2-9-13-1-10-7-5-12-4-6    | 15-8-11-3-14-2 | 1-10-7-13-9 | 5-6-12-4 |
 5_15_3_2.0_1.5       30734      2377     12675      15682       66.5163    Feasible     3607.46	1-5-2-15-3-6-10-11-8-9-12-13-14-7-4    | 15-1-3-5-2 | 8-10-9-6-11 | 7-14-4-12-13 |
 1_15_3_2.0_2.0     28328.6      2573     10050    15705.6       72.3812    Feasible     3607.92	3-7-12-14-15-10-6-11-4-13-5-8-9-2-1    | 14-3-12-7-15-10 | 6-5-11-13-4 | 1-8-9-2 |
 2_15_3_2.0_2.0       33038      2302     16035      14701       66.2017    Feasible     3607.61	8-6-7-13-2-11-12-1-15-10-5-14-3-9-4    | 8-13-6-7 | 1-11-2-12-15 | 3-9-4-10-5-14 |
 3_15_3_2.0_2.0     25013.2      2266      8070    14677.2       73.0379    Feasible     3607.33	12-11-14-3-2-1-7-15-6-4-10-8-9-13-5    | 11-12-14 | 6-15-7-3-4-2-1 | 10-5-13-8-9 |
 4_15_3_2.0_2.0     20496.9      2548      3975    13973.9       75.6992    Feasible      3605.9	3-6-8-10-14-4-9-12-13-2-11-5-15-1-7    | 14-4-12-9-8-10-6-3 | 13-5-2-11 | 7-15-1 |
 5_15_3_2.0_2.0     22680.4      2590      6015    14075.4       63.1588    Feasible      3626.3	9-13-2-8-10-3-1-6-15-11-4-12-14-5-7    | 9-2-10-13-8-3 | 15-6-4-11-1 | 5-14-12-7 |
 1_15_3_2.0_2.5     21568.6      2552      7950    11066.6       69.7704    Feasible      3627.2	3-4-10-12-13-15-8-5-2-1-9-6-7-11-14    | 8-4-15-10 | 3-13-5-12-2 | 11-6-9-7-14-1 |
 2_15_3_2.0_2.5     23644.9      2685      7725    13234.9       64.9919    Feasible     3608.01	1-6-12-15-9-2-3-11-7-4-10-5-14-13-8    | 1-9-6-12-15 | 2-3-11 | 13-8-14-4-7-5-10 |
 3_15_3_2.0_2.5     30293.6      2549     10620    17124.6       71.8707    Feasible     3608.99	8-11-2-14-1-12-13-9-6-5-3-10-4-15-7    | 8-11-14-2 | 1-6-5-12-9-13 | 3-15-4-10-7 |
