       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  4_8_3_1.5_2.5      8900.1      2034      3696     3170.1    0.00184517     Optimal     454.071	4-3-5-1-7-8-2-6    | 1-4-5-3 | 8-7 | 2-6 |
  5_8_3_1.5_2.5      6880.5      1609      2240     3031.5    0.00436015     Optimal      347.25	4-3-7-5-8-1-2-6    | 4-7-3 | 8-6-1-2-5 |
  1_8_3_2.0_0.5      9104.2      1780      3024     4300.2    0.00549197     Optimal     443.274	2-7-5-6-1-4-8-3    | 7-5-2 | 4-1-6 | 8-3 |
  2_8_3_2.0_0.5        9402      2310      3720       3372             0     Optimal     624.431	1-2-8-4-7-3-5-6    | 1-2 | 4-8-7 | 5-3-6 |
  3_8_3_2.0_0.5        6714      2093      2128       2493    0.00893655     Optimal      390.89	4-7-8-3-5-2-6-1    | 8-7-4 | 5-3-2 | 1-6 |
  4_8_3_2.0_0.5     10518.3      1737      4112     4669.3     0.0061567     Optimal     750.452	3-5-7-4-1-8-2-6    | 3-5 | 4-7-1 | 2-6-8 |
  5_8_3_2.0_0.5      7294.2      2236      2136     2922.2             0     Optimal     239.913	8-6-7-2-5-4-3-1    | 7-6-8 | 2-5 | 1-4-3 |
  1_8_3_2.0_1.0      9894.5      2202      3696     3996.5    0.00590558     Optimal     1012.31	4-3-5-6-1-2-8-7    | 3-4 | 6-1-5 | 2-8-7 |
  2_8_3_2.0_1.0      9970.6      2121      4560     3289.6             0     Optimal     754.413	1-6-2-8-4-5-3-7    | 1-2-6 | 4-8 | 3-5-7 |
  3_8_3_2.0_1.0     11444.9      1512      4472     5460.9    0.00723385     Optimal     504.213	4-1-2-8-7-6-3-5    | 4-1 | 2-8 | 6-7-5-3 |
  4_8_3_2.0_1.0      9652.5      1626      3968     4058.5    0.00938321     Optimal     1096.49	4-6-8-5-3-7-1-2    | 6-8-4 | 5-3 | 7-1-2 |
  5_8_3_2.0_1.0     11162.4      1489      3592     6081.4    0.00537825     Optimal     1523.18	8-3-4-5-1-2-6-7    | 3-5-4-8 | 7-2-1-6 |
  1_8_3_2.0_1.5      8656.4      1667      2704     4285.4    0.00835579     Optimal     676.206	8-6-7-2-1-5-3-4    | 7-6-8 | 1-2-5 | 3-4 |
  2_8_3_2.0_1.5     11586.4      1980      4344     5262.4    0.00863081     Optimal     645.314	6-3-4-1-2-7-8-5    | 6-3 | 4-1 | 7-8-2-5 |
